week_start,store_name,store_chain,area,city,flyer_url,flyer_format,status,last_checked,notes
2026-03-20,T&T Supermarket (International Village),T&T,Downtown,Vancouver,https://www.tntsupermarket.com/eng/store-flyer,url/pdf/image,updated,2026-03-20 19:56 UTC,official store-flyer page (preferred)
2026-03-20,H Mart Downtown,H Mart,Downtown,Vancouver,https://hmart.ca/index.php?pn=flyer,url/pdf/image,updated,2026-03-20 19:56 UTC,official flyer page (preferred)
2026-03-20,Safeway (Davie St),Safeway,Downtown,Vancouver,https://www.safeway.ca/flyer/,url/pdf/image,updated,2026-03-20 19:56 UTC,official flyer page
2026-03-20,IGA (Downtown),IGA,Downtown,Vancouver,https://www.iga.net/en/flyer,url/pdf/image,updated,2026-03-20 19:56 UTC,official flyer page (banner-level)
